,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_ABBREVIATION,AGE,PLAYER_HEIGHT,PLAYER_WEIGHT,GP,AST_PCT,W,L,MIN,POSS,PCT_BLK,PCT_FGA_3PT,POSS_PCT_cut,PPP_cut,PERCENTILE_cut,PERCENTILE_transition,PPP_transition,POSS_PCT_transition,PERCENTILE_iso,PPP_iso,POSS_PCT_iso,PERCENTILE_ball_handler,PPP_ball_handler,POSS_PCT_ball_handler,PERCENTILE_rollman,PPP_rollman,POSS_PCT_rollman,PERCENTILE_postup,PPP_postup,POSS_PCT_postup,PERCENTILE_spotup,PPP_spotup,POSS_PCT_spotup,PERCENTILE_handoff,PPP_handoff,POSS_PCT_handoff,PERCENTILE_offscreen,PPP_offscreen,POSS_PCT_offscreen,PERCENTILE_putbacks,PPP_putbacks,POSS_PCT_putbacks,PERCENTILE_misc,PPP_misc,POSS_PCT_misc,SEASON
0,203932,Aaron Gordon,1610612753,ORL,22.0,6-9,220,58,0.111,19,39,1909.0783333333331,3989,0.225,0.395,0.057999999999999996,1.3869999999999998,0.7959999999999999,0.239,0.963,0.201,0.436,0.823,0.09,0.32899999999999996,0.72,0.094,0.825,1.25,0.053,0.601,0.9059999999999999,0.09,0.512,0.991,0.213,0.33299999999999996,0.8,0.047,0.45,0.9440000000000001,0.067,0.743,1.226,0.05,0.547,0.537,0.038,2017-18
1,203952,Andrew Wiggins,1610612750,MIN,23.0,6-8,202,82,0.08,47,35,2978.703333333333,6052,0.182,0.26,0.06,1.521,0.914,0.39899999999999997,1.044,0.129,0.179,0.667,0.087,0.49700000000000005,0.8009999999999999,0.235,0.262,0.958,0.015,0.711,0.9490000000000001,0.099,0.35100000000000003,0.9,0.20800000000000002,0.35,0.8029999999999999,0.08,0.313,0.867,0.019,0.89,1.3330000000000002,0.032,0.8490000000000001,0.736,0.034,2017-18
2,203076,Anthony Davis,1610612740,NOP,25.0,6-10,253,75,0.10400000000000001,45,30,2727.2366666666667,5838,0.535,0.111,0.115,1.577,0.956,0.782,1.253,0.135,0.40399999999999997,0.81,0.076,0.975,1.148,0.013999999999999999,0.715,1.177,0.142,0.76,0.9690000000000001,0.187,0.44299999999999995,0.9570000000000001,0.12300000000000001,0.439,0.857,0.015,0.225,0.802,0.057,0.9490000000000001,1.453,0.07400000000000001,0.9440000000000001,0.867,0.064,2017-18
3,201933,Blake Griffin,1610612765,DET,29.0,6-10,251,58,0.28600000000000003,28,30,1969.821666666667,4036,0.099,0.32299999999999995,0.049,1.2109999999999999,0.38,0.664,1.185,0.10400000000000001,0.7020000000000001,0.953,0.111,0.33799999999999997,0.7240000000000001,0.11199999999999999,0.825,1.25,0.134,0.49,0.8690000000000001,0.22699999999999998,0.45399999999999996,0.9620000000000001,0.13699999999999998,0.365,0.818,0.013999999999999999,0.653,1.0590000000000002,0.032,0.561,1.133,0.039,0.355,0.409,0.057,2017-18
4,201933,Blake Griffin,1610612765,DET,29.0,6-10,251,58,0.28600000000000003,28,30,1969.821666666667,4036,0.099,0.32299999999999995,0.049,1.2109999999999999,0.38,0.664,1.185,0.10400000000000001,0.7020000000000001,0.953,0.111,0.33799999999999997,0.7240000000000001,0.11199999999999999,0.825,1.25,0.134,0.49,0.8690000000000001,0.22699999999999998,0.45399999999999996,0.9620000000000001,0.13699999999999998,0.365,0.818,0.013999999999999999,0.653,1.0590000000000002,0.032,0.561,1.133,0.039,0.473,0.484,0.059000000000000004,2017-18
5,201933,Blake Griffin,1610612765,DET,29.0,6-10,251,58,0.28600000000000003,28,30,1969.821666666667,4036,0.099,0.32299999999999995,0.049,1.2109999999999999,0.38,0.664,1.185,0.10400000000000001,0.7020000000000001,0.953,0.111,0.33799999999999997,0.7240000000000001,0.11199999999999999,0.825,1.25,0.134,0.49,0.8690000000000001,0.22699999999999998,0.45399999999999996,0.9620000000000001,0.13699999999999998,0.365,0.818,0.013999999999999999,0.653,1.0590000000000002,0.032,0.747,1.227,0.042,0.355,0.409,0.057,2017-18
6,201933,Blake Griffin,1610612765,DET,29.0,6-10,251,58,0.28600000000000003,28,30,1969.821666666667,4036,0.099,0.32299999999999995,0.049,1.2109999999999999,0.38,0.664,1.185,0.10400000000000001,0.7020000000000001,0.953,0.111,0.33799999999999997,0.7240000000000001,0.11199999999999999,0.825,1.25,0.134,0.49,0.8690000000000001,0.22699999999999998,0.45399999999999996,0.9620000000000001,0.13699999999999998,0.365,0.818,0.013999999999999999,0.653,1.0590000000000002,0.032,0.747,1.227,0.042,0.473,0.484,0.059000000000000004,2017-18
7,201933,Blake Griffin,1610612765,DET,29.0,6-10,251,58,0.28600000000000003,28,30,1969.821666666667,4036,0.099,0.32299999999999995,0.049,1.2109999999999999,0.38,0.664,1.185,0.10400000000000001,0.7020000000000001,0.953,0.111,0.33799999999999997,0.7240000000000001,0.11199999999999999,0.825,1.25,0.134,0.49,0.8690000000000001,0.22699999999999998,0.45399999999999996,0.9620000000000001,0.13699999999999998,0.365,0.818,0.013999999999999999,0.04,0.5379999999999999,0.017,0.561,1.133,0.039,0.355,0.409,0.057,2017-18
8,201933,Blake Griffin,1610612765,DET,29.0,6-10,251,58,0.28600000000000003,28,30,1969.821666666667,4036,0.099,0.32299999999999995,0.049,1.2109999999999999,0.38,0.664,1.185,0.10400000000000001,0.7020000000000001,0.953,0.111,0.33799999999999997,0.7240000000000001,0.11199999999999999,0.825,1.25,0.134,0.49,0.8690000000000001,0.22699999999999998,0.45399999999999996,0.9620000000000001,0.13699999999999998,0.365,0.818,0.013999999999999999,0.04,0.5379999999999999,0.017,0.561,1.133,0.039,0.473,0.484,0.059000000000000004,2017-18
9,201933,Blake Griffin,1610612765,DET,29.0,6-10,251,58,0.28600000000000003,28,30,1969.821666666667,4036,0.099,0.32299999999999995,0.049,1.2109999999999999,0.38,0.664,1.185,0.10400000000000001,0.7020000000000001,0.953,0.111,0.33799999999999997,0.7240000000000001,0.11199999999999999,0.825,1.25,0.134,0.49,0.8690000000000001,0.22699999999999998,0.45399999999999996,0.9620000000000001,0.13699999999999998,0.365,0.818,0.013999999999999999,0.04,0.5379999999999999,0.017,0.747,1.227,0.042,0.355,0.409,0.057,2017-18
