,PLAYER_ID,W,L,MIN,POSS,PCT_BLK,PCT_FGA_3PT,PLAYER_NAME,AGE,PLAYER_HEIGHT,PLAYER_WEIGHT,GP,AST_PCT,TEAM_ID,POSS_PCT_cut,PPP_cut,PERCENTILE_cut,PERCENTILE_transition,PPP_transition,POSS_PCT_transition,PERCENTILE_iso,PPP_iso,POSS_PCT_iso,PERCENTILE_ball_handler,PPP_ball_handler,POSS_PCT_ball_handler,PERCENTILE_rollman,PPP_rollman,POSS_PCT_rollman,PERCENTILE_postup,PPP_postup,POSS_PCT_postup,PERCENTILE_spotup,PPP_spotup,POSS_PCT_spotup,PERCENTILE_handoff,PPP_handoff,POSS_PCT_handoff,PERCENTILE_offscreen,PPP_offscreen,POSS_PCT_offscreen,PERCENTILE_putbacks,PPP_putbacks,POSS_PCT_putbacks,PERCENTILE_misc,PPP_misc,POSS_PCT_misc,SEASON,TEAM_ABBREVIATION
455,1627783,46,14,2110.161666666667,4483,0.265,0.331,Pascal Siakam,26.0,6-9,230,60,0.161,1610612761.0,0.046,1.524,0.89,0.643,1.1740000000000002,0.217,0.5670000000000001,0.88,0.17600000000000002,0.431,0.815,0.142,0.53,1.0979999999999999,0.037000000000000005,0.5,0.917,0.122,0.569,1.005,0.14400000000000002,0.342,0.82,0.036000000000000004,0.086,0.609,0.017,0.249,0.946,0.027000000000000003,0.943,0.904,0.038,2019-20,TOR
456,1627775,27,10,908.1416666666668,1922,0.048,0.43799999999999994,Patrick McCaw,24.0,6-7,181,37,0.11800000000000001,1610612761.0,0.086,1.294,0.519,0.21,0.968,0.157,,,,0.29600000000000004,0.742,0.157,,,,,,,0.405,0.93,0.43700000000000006,,,,,,,,,,,,,2019-20,TOR
457,1626178,43,17,1121.895,2373,0.18100000000000002,0.07,Rondae Hollis-Jefferson,25.0,6-6,217,60,0.141,1610612761.0,0.235,1.094,0.20600000000000002,0.242,0.987,0.175,0.96,1.235,0.038,0.862,1.0,0.033,0.382,1.023,0.095,0.387,0.884,0.095,0.079,0.621,0.128,,,,,,,0.33,1.0,0.135,0.245,0.36,0.055,2019-20,TOR
458,201586,40,15,1484.6266666666668,3154,0.324,0.272,Serge Ibaka,30.0,7-0,235,55,0.086,1610612761.0,0.146,1.157,0.297,0.91,1.3840000000000001,0.10300000000000001,,,,,,,0.304,0.996,0.306,0.645,0.9640000000000001,0.067,0.205,0.784,0.184,,,,0.991,1.6,0.018000000000000002,0.741,1.2109999999999999,0.10800000000000001,0.06,0.196,0.055,2019-20,TOR
459,1629056,53,19,1209.1633333333334,2571,0.094,0.555,Terence Davis,23.0,6-4,201,72,0.14,1610612761.0,0.06,1.344,0.619,0.446,1.091,0.247,0.968,1.3130000000000002,0.03,0.19899999999999998,0.6629999999999999,0.17800000000000002,,,,,,,0.7829999999999999,1.127,0.29600000000000004,0.063,0.5379999999999999,0.024,0.321,0.857,0.066,0.7440000000000001,1.212,0.062,0.54,0.526,0.036000000000000004,2019-20,TOR
460,1628476,15,11,248.3033333333333,535,0.0,0.615,Derrick Walton Jr.,25.0,6-0,185,26,0.155,1610612746.0,,,,,,,,,,,,,,,,,,,0.981,1.435,0.5479999999999999,,,,,,,,,,,,,2019-20,LAC
461,1627826,49,23,1326.0,2786,0.47100000000000003,0.005,Ivica Zubac,23.0,7-0,240,72,0.091,1610612746.0,0.21899999999999997,1.3019999999999998,0.5379999999999999,0.982,1.569,0.096,,,,,,,0.691,1.192,0.22699999999999998,0.484,0.914,0.066,0.919,1.2309999999999999,0.025,,,,,,,0.406,1.041,0.278,0.226,0.348,0.087,2019-20,LAC
462,203210,43,20,1307.0416666666667,2853,0.195,0.6759999999999999,JaMychal Green,30.0,6-8,227,63,0.051,1610612746.0,0.069,0.9329999999999999,0.05,0.40700000000000003,1.078,0.11800000000000001,,,,,,,0.396,1.03,0.152,0.129,0.7040000000000001,0.062,0.733,1.095,0.38799999999999996,,,,,,,0.3,0.98,0.115,0.223,0.345,0.067,2019-20,LAC
463,1629010,36,27,979.305,2193,0.191,0.494,Jerome Robinson,23.0,6-4,190,63,0.12300000000000001,1610612746.0,,,,0.20800000000000002,0.9670000000000001,0.175,,,,0.38299999999999995,0.7909999999999999,0.251,,,,,,,0.043,0.517,0.35100000000000003,0.307,0.8,0.057999999999999996,,,,,,,,,,2019-20,LAC
464,202695,41,16,1848.1083333333331,3874,0.185,0.287,Kawhi Leonard,29.0,6-7,225,57,0.255,1610612746.0,0.01,1.643,0.971,0.74,1.226,0.13699999999999998,0.846,1.052,0.147,0.797,0.968,0.32799999999999996,0.322,1.0,0.012,0.7809999999999999,1.006,0.106,0.787,1.13,0.111,0.21600000000000003,0.722,0.037000000000000005,0.95,1.291,0.059000000000000004,0.519,1.094,0.022000000000000002,0.94,0.8859999999999999,0.03,2019-20,LAC
465,1629013,34,19,1451.93,3114,0.071,0.757,Landry Shamet,23.0,6-4,190,53,0.09,1610612746.0,,,,0.043,0.7120000000000001,0.157,,,,0.54,0.855,0.14800000000000002,0.995,1.923,0.027999999999999997,,,,0.9570000000000001,1.2990000000000002,0.33799999999999997,0.165,0.667,0.065,0.941,1.256,0.185,,,,0.129,0.28600000000000003,0.045,2019-20,LAC
466,101150,44,21,1863.708333333333,4095,0.067,0.337,Lou Williams,33.0,6-1,175,65,0.294,1610612746.0,0.009000000000000001,1.273,0.484,0.18600000000000003,0.953,0.13699999999999998,0.295,0.773,0.07,0.698,0.9209999999999999,0.512,0.0,0.5,0.008,,,,0.701,1.072,0.11,0.687,1.0,0.049,0.635,1.0,0.036000000000000004,0.63,1.1540000000000001,0.01,0.8370000000000001,0.747,0.06,2019-20,LAC
467,202694,26,36,1936.273333333333,3983,0.168,0.43,Marcus Morris Sr.,30.0,6-8,218,62,0.066,1610612746.0,,,,0.738,1.226,0.15,0.036000000000000004,0.45,0.09699999999999999,0.32899999999999996,0.758,0.16,,,,0.45799999999999996,0.909,0.053,0.47100000000000003,0.953,0.311,,,,0.635,1.0,0.078,,,,0.022000000000000002,0.1,0.049,2019-20,LAC
468,203090,39,23,1426.775,3066,0.2,0.34600000000000003,Maurice Harkless,27.0,6-7,220,62,0.062,1610612746.0,0.177,1.2,0.365,0.33799999999999997,1.043,0.16699999999999998,,,,0.23800000000000002,0.696,0.08199999999999999,,,,0.764,1.0,0.043,0.6629999999999999,1.054,0.33,,,,,,,0.133,0.8079999999999999,0.092,0.493,0.5,0.064,2019-20,LAC
469,1626149,44,19,1749.1266666666668,3818,0.39799999999999996,0.022000000000000002,Montrezl Harrell,26.0,6-7,240,63,0.102,1610612746.0,0.135,1.357,0.645,0.39799999999999996,1.069,0.151,0.8420000000000001,1.041,0.092,0.965,1.16,0.024,0.8109999999999999,1.31,0.17300000000000001,0.716,0.98,0.18899999999999997,0.109,0.698,0.040999999999999995,,,,,,,0.6859999999999999,1.195,0.125,0.45,0.478,0.063,2019-20,LAC
470,201976,38,13,1341.7016666666666,2839,0.17600000000000002,0.604,Patrick Beverley,31.0,6-1,180,51,0.18,1610612746.0,,,,0.45899999999999996,1.0979999999999999,0.12,0.555,0.875,0.055999999999999994,0.527,0.851,0.204,,,,,,,0.77,1.117,0.441,,,,,,,0.223,0.9229999999999999,0.031,0.091,0.25,0.085,2019-20,LAC
471,202335,39,20,776.1866666666666,1694,0.053,0.738,Patrick Patterson,31.0,6-8,235,59,0.075,1610612746.0,0.044000000000000004,1.167,0.313,0.826,1.281,0.11599999999999999,,,,,,,0.45399999999999996,1.057,0.127,0.9940000000000001,1.3330000000000002,0.044000000000000004,0.8290000000000001,1.157,0.462,,,,,,,0.061,0.68,0.091,0.633,0.5710000000000001,0.076,2019-20,LAC
472,202331,34,14,1418.878333333333,3020,0.135,0.48700000000000004,Paul George,30.0,6-8,220,48,0.205,1610612746.0,,,,0.532,1.13,0.131,0.235,0.746,0.114,0.8009999999999999,0.97,0.32899999999999996,,,,0.161,0.7390000000000001,0.046,0.8140000000000001,1.148,0.122,0.981,1.4,0.05,0.883,1.161,0.14300000000000002,,,,0.727,0.634,0.040999999999999995,2019-20,LAC
473,202704,16,15,742.66,1542,0.08199999999999999,0.445,Reggie Jackson,30.0,6-3,208,31,0.263,1610612746.0,,,,0.14400000000000002,0.917,0.218,0.085,0.545,0.067,0.531,0.852,0.327,,,,,,,0.991,1.45,0.242,,,,,,,,,,0.429,0.462,0.079,2019-20,LAC
474,203585,38,18,871.0133333333333,1927,0.094,0.49200000000000005,Rodney McGruder,28.0,6-4,205,56,0.055,1610612746.0,0.11900000000000001,1.115,0.24100000000000002,0.09,0.8440000000000001,0.146,,,,0.205,0.667,0.068,,,,,,,0.24100000000000002,0.8240000000000001,0.493,0.81,1.071,0.064,,,,,,,,,,2019-20,LAC
