,PLAYER_ID,TEAM_ID,W,L,MIN,POSS,PCT_BLK,PCT_FGA_3PT,PLAYER_NAME,AGE,PLAYER_HEIGHT,PLAYER_WEIGHT,GP,AST_PCT,SEASON,TEAM_ABBREVIATION
38,201158,1610612740,44,36,1957.1616666666666,3713,0.035,0.469,Marco Belinelli,25.0,6-5,200,80,0.077,2010-11,NOH
39,201607,1610612740,3,4,19.15333333333333,36,0.25,0.4,Patrick Ewing,27.0,6-8,235,7,0.16699999999999998,2010-11,NOH
40,200822,1610612740,6,1,35.14,69,0.0,0.0,Pops Mensah-Bonsu,27.0,6-9,235,7,0.08,2010-11,NOH
41,202347,1610612740,35,31,733.5716666666667,1367,0.11800000000000001,0.278,Quincy Pondexter,23.0,6-6,225,66,0.064,2010-11,NOH
42,2772,1610612740,43,32,2599.848333333333,4924,0.146,0.35600000000000004,Trevor Ariza,25.0,6-8,210,75,0.099,2010-11,NOH
43,2584,1610612740,44,33,1673.91,3169,0.091,0.255,Willie Green,29.0,6-3,201,77,0.08,2010-11,NOH
44,201151,1610612744,20,31,725.8783333333333,1460,0.0,0.19399999999999998,Acie Law,26.0,6-3,202,51,0.182,2010-11,GSW
45,201154,1610612744,21,50,1383.591666666667,2724,0.077,0.06,Al Thornton,27.0,6-8,235,71,0.07200000000000001,2010-11,GSW
46,2740,1610612744,26,33,1397.09,2826,0.473,0.0,Andris Biedrins,25.0,7-0,240,59,0.06,2010-11,GSW
47,2294,1610612744,7,12,170.925,334,0.055999999999999994,0.488,Charlie Bell,32.0,6-3,200,19,0.113,2010-11,GSW
48,101135,1610612744,35,38,2634.285,5321,0.11900000000000001,0.003,David Lee,28.0,6-9,240,73,0.136,2010-11,GSW
49,2748,1610612744,36,46,3146.778333333333,6366,0.201,0.45,Dorell Wright,25.0,6-9,205,82,0.114,2010-11,GSW
50,202327,1610612744,28,30,1029.5133333333333,2048,0.551,0.0,Ekpe Udoh,24.0,6-10,245,58,0.051,2010-11,GSW
51,202399,1610612744,7,16,195.935,388,0.294,0.0,Jeff Adrien,25.0,6-7,243,23,0.075,2010-11,GSW
52,202391,1610612744,10,19,284.5133333333333,560,0.257,0.069,Jeremy Lin,22.0,6-3,200,29,0.207,2010-11,GSW
53,200811,1610612744,20,26,691.1066666666667,1383,0.45799999999999996,0.0,Lou Amundson,28.0,6-9,225,46,0.039,2010-11,GSW
54,101145,1610612744,35,45,3226.673333333333,6466,0.073,0.235,Monta Ellis,25.0,6-3,185,80,0.23399999999999999,2010-11,GSW
55,202130,1610612744,36,44,1626.2683333333334,3272,0.018000000000000002,0.42100000000000004,Reggie Williams,24.0,6-6,205,80,0.11800000000000001,2010-11,GSW
56,201939,1610612744,33,41,2488.9933333333333,5059,0.079,0.325,Stephen Curry,23.0,6-3,185,74,0.268,2010-11,GSW
57,2209,1610612744,32,42,1169.1816666666666,2336,0.364,0.544,Vladimir Radmanovic,30.0,6-10,235,74,0.096,2010-11,GSW
58,1733,1610612743,45,28,1664.5483333333334,3389,0.079,0.486,Al Harrington,31.0,6-9,250,73,0.096,2010-11,DEN
59,201167,1610612743,40,29,2324.293333333333,4645,0.158,0.396,Arron Afflalo,25.0,6-5,215,69,0.109,2010-11,DEN
60,2365,1610612743,29,16,732.32,1510,0.667,0.006999999999999999,Chris Andersen,32.0,6-10,228,45,0.043,2010-11,DEN
61,201568,1610612743,34,28,2104.03,4277,0.105,0.45799999999999996,Danilo Gallinari,22.0,6-10,225,62,0.07400000000000001,2010-11,DEN
62,201814,1610612743,39,24,790.7683333333333,1661,0.09699999999999999,0.212,Gary Forbes,26.0,6-7,220,63,0.094,2010-11,DEN
63,2747,1610612743,49,30,1967.59,4000,0.08900000000000001,0.406,JR Smith,25.0,6-6,220,79,0.141,2010-11,DEN
64,2030,1610612743,31,17,1233.18,2460,0.297,0.025,Kenyon Martin,33.0,6-9,240,48,0.13,2010-11,DEN
65,201585,1610612743,17,33,433.6,926,0.521,0.013000000000000001,Kosta Koufos,22.0,7-0,265,50,0.025,2010-11,DEN
66,2408,1610612743,18,12,366.475,738,0.40700000000000003,0.0,Melvin Ely,33.0,6-10,261,30,0.052000000000000005,2010-11,DEN
67,2403,1610612743,46,29,2290.7966666666666,4550,0.36,0.008,Nene,28.0,6-11,250,75,0.10400000000000001,2010-11,DEN
68,101109,1610612743,44,31,2737.295,5587,0.032,0.327,Raymond Felton,27.0,6-1,205,75,0.34700000000000003,2010-11,DEN
69,202389,1610612743,27,18,524.095,1069,0.397,0.0,Timofey Mozgov,24.0,7-1,250,45,0.045,2010-11,DEN
70,201951,1610612743,49,31,2102.6,4291,0.023,0.249,Ty Lawson,23.0,5-11,195,80,0.272,2010-11,DEN
71,201163,1610612743,41,31,2400.4166666666665,4876,0.315,0.336,Wilson Chandler,24.0,6-8,225,72,0.079,2010-11,DEN
72,201143,1610612737,41,36,2703.7066666666665,5072,0.349,0.004,Al Horford,25.0,6-10,245,77,0.16899999999999998,2010-11,ATL
73,2863,1610612737,25,27,676.4533333333334,1320,0.136,0.073,Damien Wilkins,31.0,6-6,225,52,0.099,2010-11,ATL
74,2041,1610612737,6,7,82.07333333333334,166,0.5,0.0,Etan Thomas,33.0,6-10,260,13,0.05,2010-11,ATL
75,200756,1610612737,15,38,488.785,981,0.382,0.053,Hilton Armstrong,26.0,6-11,235,53,0.046,2010-11,ATL
76,2037,1610612737,40,36,2296.991666666667,4410,0.077,0.39899999999999997,Jamal Crawford,31.0,6-5,200,76,0.17800000000000002,2010-11,ATL
