,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_ABBREVIATION,AGE,GP,W,L,W_PCT,MIN,DEF_RATING,DREB,DREB_PCT,PCT_DREB,STL,PCT_STL,BLK,PCT_BLK,OPP_PTS_OFF_TOV,OPP_PTS_2ND_CHANCE,OPP_PTS_FB,OPP_PTS_PAINT,DEF_WS,GP_RANK,W_RANK,L_RANK,W_PCT_RANK,MIN_RANK,DEF_RATING_RANK,DREB_RANK,DREB_PCT_RANK,PCT_DREB_RANK,STL_RANK,PCT_STL_RANK,BLK_RANK,PCT_BLK_RANK,OPP_PTS_OFF_TOV_RANK,OPP_PTS_2ND_CHANCE_RANK,OPP_PTS_FB_RANK,OPP_PTS_PAINT_RANK,DEF_WS_RANK,CFID,CFPARAMS
449,2772,Trevor Ariza,1610612740,NOH,27.0,41,12,29,0.293,1350.0516666666667,106.1,174,0.137,0.215,69,0.329,25,0.18,481,411,435,1250,2.42,287,351,344,425,171,378,124,193,189,46,20,128,197,328,345,367,335,242,5,"2772,1610612740"
450,202344,Trevor Booker,1610612764,WAS,24.0,50,12,38,0.24,1261.4366666666667,106.2,206,0.162,0.265,48,0.236,43,0.247,508,403,408,1102,2.2,229,351,424,441,186,385,89,118,104,114,115,71,150,344,339,344,303,262,5,"202344,1610612764"
451,201234,Trey Johnson,1610612740,NOH,27.0,11,2,9,0.182,61.35333333333333,92.4,9,0.15,0.2,1,0.125,0,0.0,29,14,19,52,0.39,428,449,81,455,454,23,444,146,204,449,399,441,441,33,21,27,25,414,5,"201234,1610612740"
452,202717,Trey Thompkins,1610612746,LAC,22.0,24,16,8,0.667,119.02333333333333,112.8,20,0.192,0.29,3,0.136,3,0.3,69,41,57,110,-0.04,382,306,71,69,428,470,404,62,70,427,376,354,124,73,62,78,52,471,5,"202717,1610612746"
453,202684,Tristan Thompson,1610612739,CLE,21.0,60,18,42,0.3,1423.7533333333333,108.5,202,0.146,0.233,27,0.139,62,0.504,466,414,365,1328,1.46,131,282,448,419,155,434,93,167,151,229,371,38,38,317,350,312,354,312,5,"202684,1610612739"
454,2211,Troy Murphy,1610612747,LAL,32.0,59,34,25,0.576,955.605,102.0,151,0.156,0.231,15,0.14,16,0.18,309,238,277,778,2.92,146,90,294,162,236,244,167,135,153,317,369,202,198,232,232,252,238,209,5,"2211,1610612747"
455,201951,Ty Lawson,1610612743,DEN,24.0,61,36,25,0.59,2123.9766666666665,104.0,173,0.083,0.125,82,0.229,6,0.03,708,540,543,1788,5.21,120,65,294,149,26,326,128,366,379,29,132,301,414,450,435,433,444,83,5,"201951,1610612743"
456,201946,Tyler Hansbrough,1610612754,IND,26.0,66,42,24,0.636,1441.655,101.4,177,0.127,0.207,54,0.205,9,0.076,472,396,343,1126,4.72,1,28,272,86,150,225,118,218,199,85,199,261,337,324,332,297,305,105,5,"201946,1610612754"
457,202715,Tyler Honeycutt,1610612758,SAC,21.0,15,5,10,0.333,88.02,106.2,11,0.126,0.2,4,0.235,3,0.333,24,28,29,88,0.17,413,419,86,384,445,383,435,219,204,412,118,354,109,26,42,45,40,441,5,"202715,1610612758"
458,201936,Tyreke Evans,1610612758,SAC,22.0,63,19,44,0.302,2162.3766666666666,109.4,225,0.107,0.17,84,0.227,29,0.137,816,637,773,2220,1.64,87,271,460,418,19,448,68,275,264,26,136,111,253,473,470,477,477,305,5,"201936,1610612758"
459,200748,Tyrus Thomas,1610612766,CHA,25.0,54,5,49,0.093,1013.2666666666667,109.6,151,0.158,0.252,36,0.267,60,0.462,366,328,306,996,0.69,191,419,471,469,225,449,167,127,122,179,69,40,61,265,284,270,285,384,5,"200748,1610612766"
460,2199,Tyson Chandler,1610612752,NYK,29.0,62,34,28,0.548,2060.5516666666667,99.2,400,0.196,0.297,56,0.149,89,0.489,815,530,567,1644,8.14,106,90,330,192,42,130,16,53,60,74,352,16,51,472,424,441,424,19,5,"2199,1610612752"
461,2617,Udonis Haslem,1610612748,MIA,32.0,64,44,20,0.688,1588.7516666666668,96.9,353,0.22,0.338,35,0.139,24,0.15,558,430,386,1152,7.46,62,22,213,66,119,73,26,22,24,186,373,133,235,379,362,330,313,32,5,"2617,1610612748"
462,202731,Vernon Macklin,1610612765,DET,25.0,23,5,18,0.217,135.45666666666668,98.6,20,0.147,0.213,4,0.25,4,0.364,56,43,40,120,0.63,389,419,177,445,420,115,404,161,190,412,89,338,100,62,64,58,61,391,5,"202731,1610612765"
463,1713,Vince Carter,1610612742,DAL,35.0,61,33,28,0.541,1542.0233333333333,96.9,173,0.111,0.163,56,0.207,25,0.151,464,369,430,1134,7.27,120,103,330,199,125,75,128,262,284,74,196,128,233,314,315,363,308,38,5,"1713,1610612742"
464,2209,Vladimir Radmanovic,1610612737,ATL,31.0,49,30,19,0.612,755.0466666666666,96.1,109,0.145,0.22,21,0.162,15,0.246,247,190,181,628,3.82,235,135,190,124,277,55,229,169,177,265,319,207,152,194,189,184,202,163,5,"2209,1610612737"
