,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_ABBREVIATION,AGE,GP,W,L,W_PCT,MIN,PTS_OFF_TOV,PTS_2ND_CHANCE,PTS_FB,PTS_PAINT,OPP_PTS_OFF_TOV,OPP_PTS_2ND_CHANCE,OPP_PTS_FB,OPP_PTS_PAINT,BLK,BLKA,PF,PFD,NBA_FANTASY_PTS,GP_RANK,W_RANK,L_RANK,W_PCT_RANK,MIN_RANK,PTS_OFF_TOV_RANK,PTS_2ND_CHANCE_RANK,PTS_FB_RANK,PTS_PAINT_RANK,OPP_PTS_OFF_TOV_RANK,OPP_PTS_2ND_CHANCE_RANK,OPP_PTS_FB_RANK,OPP_PTS_PAINT_RANK,BLK_RANK,BLKA_RANK,PF_RANK,PFD_RANK,NBA_FANTASY_PTS1,CFID,CFPARAMS
326,101110,Martell Webster,1610612764,WAS,28.0,32,12,20,0.375,351.62833333333333,16,17,4,14,152,83,101,264,1,2,24,39,188.7,374,371,158,354,386,389,372,423,432,119,99,111,98,414,46,86,332,403,5,"101110,1610612764"
327,101107,Marvin Williams,1610612766,CHA,29.0,78,32,46,0.41,2034.6916666666666,70,107,43,138,513,503,468,1696,36,12,146,81,1445.2,64,195,449,328,101,231,104,235,265,312,363,345,373,102,178,356,237,144,5,"101107,1610612766"
328,203486,Mason Plumlee,1610612751,BKN,25.0,82,38,44,0.463,1742.62,139,145,114,552,600,519,526,1578,63,59,207,252,1720.4,2,125,433,275,145,95,49,90,39,357,372,375,356,44,455,465,42,99,5,"203486,1610612751"
329,2440,Matt Barnes,1610612746,LAC,35.0,76,51,25,0.671,2271.2233333333334,137,61,193,262,702,602,565,1838,50,27,240,90,1561.4,87,35,224,81,66,102,210,28,157,407,421,405,400,66,307,485,216,123,5,"2440,1610612746"
330,2588,Matt Bonner,1610612759,SAS,35.0,72,49,23,0.681,935.465,51,17,13,74,287,244,292,822,12,8,65,24,527.5,140,45,197,71,288,281,372,359,330,191,200,244,210,255,131,168,373,323,5,"2588,1610612759"
331,203521,Matthew Dellavedova,1610612739,CLE,24.0,67,43,24,0.642,1380.2333333333333,47,18,10,44,495,347,272,1134,2,20,152,68,793.2,185,85,212,103,213,289,366,382,373,301,262,221,275,398,244,376,267,275,5,"203521,1610612739"
332,203090,Maurice Harkless,1610612753,ORL,22.0,45,9,36,0.2,674.2233333333334,27,30,40,106,238,158,185,550,9,8,66,35,418.7,323,405,361,456,335,362,320,245,291,160,140,161,151,295,131,171,348,352,5,"203090,1610612753"
333,203086,Meyers Leonard,1610612757,POR,23.0,55,32,23,0.582,846.585,31,34,22,110,280,234,218,624,14,6,113,57,708.0,275,195,197,167,302,348,305,313,290,187,193,181,166,232,111,270,291,296,5,"203086,1610612757"
334,201563,Michael Beasley,1610612748,MIA,26.0,24,11,13,0.458,504.805,48,32,6,102,187,143,104,416,13,12,66,34,413.8,405,384,96,288,363,288,313,403,296,134,130,112,127,249,178,171,352,353,5,"201563,1610612748"
335,203487,Michael Carter-Williams,1610612749,MIL,23.0,66,21,45,0.318,2149.943333333333,207,93,119,518,823,570,593,1780,30,71,167,275,2222.6,200,283,445,399,81,33,127,85,50,459,404,421,387,118,480,410,33,53,5,"203487,1610612749"
336,203077,Michael Kidd-Gilchrist,1610612766,CHA,21.0,55,27,28,0.491,1587.37,139,87,142,316,411,351,326,1228,38,63,115,170,1353.7,275,225,261,245,172,95,142,63,121,255,263,263,290,97,462,275,94,164,5,"203077,1610612766"
337,201144,Mike Conley,1610612763,MEM,27.0,70,47,23,0.671,2224.985,167,71,136,454,615,533,596,1824,14,50,139,229,2073.3,155,60,197,81,73,54,173,68,65,369,381,425,397,232,426,335,53,62,5,"201144,1610612763"
338,2399,Mike Dunleavy,1610612741,CHI,34.0,63,41,22,0.651,1837.7966666666666,67,52,79,112,517,449,448,1454,21,15,123,75,1183.6,220,95,188,94,134,240,237,151,289,314,331,333,338,163,202,293,249,193,5,"2399,1610612741"
339,2034,Mike Miller,1610612739,CLE,35.0,52,31,21,0.596,701.18,8,17,8,6,268,174,201,606,4,3,74,7,318.2,285,203,176,158,329,418,372,395,455,179,151,170,163,370,70,189,438,375,5,"2034,1610612739"
340,203488,Mike Muscala,1610612737,ATL,23.0,40,26,14,0.65,502.14,37,40,25,98,185,140,113,390,19,8,52,31,461.3,345,236,105,95,366,326,289,299,299,132,126,118,123,182,131,134,358,341,5,"203488,1610612737"
