,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_ABBREVIATION,AGE,GP,W,L,W_PCT,MIN,PTS_OFF_TOV,PTS_2ND_CHANCE,PTS_FB,PTS_PAINT,OPP_PTS_OFF_TOV,OPP_PTS_2ND_CHANCE,OPP_PTS_FB,OPP_PTS_PAINT,BLK,BLKA,PF,PFD,NBA_FANTASY_PTS,GP_RANK,W_RANK,L_RANK,W_PCT_RANK,MIN_RANK,PTS_OFF_TOV_RANK,PTS_2ND_CHANCE_RANK,PTS_FB_RANK,PTS_PAINT_RANK,OPP_PTS_OFF_TOV_RANK,OPP_PTS_2ND_CHANCE_RANK,OPP_PTS_FB_RANK,OPP_PTS_PAINT_RANK,BLK_RANK,BLKA_RANK,PF_RANK,PFD_RANK,NBA_FANTASY_PTS1,CFID,CFPARAMS
0,201166,Aaron Brooks,1610612741,CHI,31.0,69,36,33,0.522,1107.71,38,16,41,184,362,287,317,950,10,33,132,77,920.2,185,151,291,204,254,312,363,233,218,215,224,237,211,286,335,298,232,244,5,"201166,1610612741"
1,203932,Aaron Gordon,1610612753,ORL,20.0,78,32,46,0.41,1863.12,148,175,127,400,607,408,519,1710,55,34,153,146,1795.4,81,183,423,325,135,78,31,73,83,336,294,353,355,57,342,349,132,101,5,"203932,1610612753"
2,1626151,Aaron Harrison,1610612766,CHA,21.0,21,15,6,0.714,93.3,1,3,2,4,40,20,47,88,0,0,10,8,53.0,409,347,39,50,435,455,440,432,450,47,39,59,47,444,1,43,421,443,5,"1626151,1610612766"
3,203940,Adreian Payne,1610612750,MIN,25.0,52,18,34,0.346,485.59,20,16,8,56,207,151,163,534,11,8,77,33,353.7,299,316,307,386,354,367,363,384,354,142,139,141,140,273,113,178,349,357,5,"203940,1610612750"
4,201143,Al Horford,1610612737,ATL,30.0,82,48,34,0.585,2631.181666666667,182,152,114,586,823,710,622,2188,121,34,163,118,2818.7,1,48,307,133,27,53,59,99,33,431,451,405,430,14,342,369,161,25,5,"201143,1610612737"
5,2744,Al Jefferson,1610612766,CHA,31.0,47,33,14,0.702,1096.4383333333333,78,36,15,326,280,259,266,958,41,36,117,81,1207.2,317,170,104,55,257,211,286,344,125,183,203,202,214,89,354,263,227,194,5,"2744,1610612766"
6,202329,Al-Farouq Aminu,1610612757,POR,25.0,82,44,38,0.537,2340.8883333333333,115,117,96,276,818,613,534,2150,53,35,171,139,1899.8,1,72,353,184,60,140,89,122,153,426,411,357,423,61,347,391,135,83,5,"202329,1610612757"
7,101187,Alan Anderson,1610612764,WAS,33.0,13,8,5,0.615,192.18333333333334,7,10,9,12,44,37,38,124,1,3,25,11,131.4,430,402,31,107,414,416,396,377,433,52,51,49,52,419,53,76,415,414,5,"101187,1610612764"
8,1626210,Alan Williams,1610612756,PHX,23.0,10,3,7,0.3,68.15,0,10,0,18,20,19,28,76,5,3,15,12,103.1,440,441,49,400,441,457,396,449,413,29,38,43,45,348,53,52,414,423,5,"1626210,1610612756"
9,202692,Alec Burks,1610612762,UTA,24.0,31,13,18,0.419,797.2733333333333,52,36,51,148,236,175,217,616,4,27,71,108,652.3,376,361,139,308,305,278,286,211,254,154,154,170,154,368,290,166,176,297,5,"202692,1610612762"
10,203458,Alex Len,1610612756,PHX,23.0,78,23,55,0.295,1820.795,91,142,29,400,777,493,623,1608,62,60,230,176,1716.3,81,278,456,402,139,184,63,288,83,410,345,407,335,50,431,463,93,111,5,"203458,1610612756"
11,1627293,Alex Stepheson,1610612763,MEM,28.0,8,2,6,0.25,72.15166666666667,4,14,2,16,20,17,39,60,5,6,12,8,76.6,443,449,39,413,440,433,372,432,419,29,35,53,35,348,95,50,421,434,5,"1627293,1610612763"
12,201582,Alexis Ajinca,1610612740,NOP,28.0,59,20,39,0.339,860.715,33,68,5,176,249,167,184,682,36,12,134,68,832.3,260,303,367,389,294,330,179,410,226,165,149,151,173,107,160,304,253,264,5,"201582,1610612740"
13,203459,Allen Crabbe,1610612757,POR,24.0,81,43,38,0.531,2104.9583333333335,161,107,125,172,701,558,491,1748,16,14,192,82,1412.7,19,81,353,190,96,65,100,78,232,381,382,342,359,228,183,429,224,157,5,"203459,1610612757"
14,202087,Alonzo Gee,1610612740,NOP,29.0,73,27,46,0.37,1632.0016666666668,96,43,106,216,494,442,390,1530,13,23,169,54,900.0,144,247,423,365,175,176,256,107,196,282,320,283,326,252,258,387,287,248,5,"202087,1610612740"
15,2405,Amar'e Stoudemire,1610612748,MIA,33.0,52,30,22,0.577,762.3016666666666,47,63,10,210,242,172,215,678,41,29,92,74,736.9,299,209,165,147,311,287,193,363,201,160,152,168,172,89,306,204,239,282,5,"2405,1610612748"
16,101161,Amir Johnson,1610612738,BOS,29.0,79,45,34,0.57,1800.1283333333333,107,140,80,466,565,528,377,1590,83,26,214,117,1701.0,63,69,307,155,143,155,66,152,61,319,366,270,331,32,282,451,162,114,5,"101161,1610612738"
17,2760,Anderson Varejao,1610612744,GSW,33.0,53,41,12,0.774,495.6066666666667,12,20,6,78,173,138,121,402,10,5,70,65,415.7,291,96,88,41,352,389,343,396,326,122,126,111,116,286,82,163,259,349,5,"2760,1610612744"
18,203083,Andre Drummond,1610612765,DET,22.0,81,43,38,0.531,2665.4666666666667,181,426,94,1068,779,575,571,2480,112,72,245,404,3390.1,19,81,353,190,23,55,1,127,1,412,390,373,463,19,450,472,10,7,5,"203083,1610612765"
19,2738,Andre Iguodala,1610612744,GSW,32.0,65,59,6,0.908,1731.6416666666667,123,44,115,190,616,507,513,1630,19,10,102,90,1298.1,221,16,39,8,153,127,252,97,214,339,356,352,338,195,138,228,203,180,5,"2738,1610612744"
20,1889,Andre Miller,1610612759,SAS,40.0,39,20,19,0.513,461.19,29,7,11,86,167,117,126,362,0,11,46,28,346.7,345,303,149,212,362,342,407,357,317,119,113,116,105,444,150,117,363,361,5,"1889,1610612759"
21,203460,Andre Roberson,1610612760,OKC,24.0,70,48,22,0.686,1553.2916666666667,63,66,85,208,547,451,380,1422,42,18,133,44,958.7,177,48,165,66,186,243,186,146,202,310,327,274,307,85,219,299,317,236,5,"203460,1610612760"
22,200745,Andrea Bargnani,1610612751,BKN,30.0,46,11,35,0.239,633.66,41,37,10,96,239,137,157,636,9,14,61,52,460.4,322,377,322,421,331,302,279,363,306,157,125,135,161,303,183,141,293,337,5,"200745,1610612751"
23,101106,Andrew Bogut,1610612744,GSW,31.0,70,62,8,0.886,1451.26,42,89,29,342,486,386,403,1230,114,7,221,74,1566.4,177,12,62,17,200,299,131,288,113,277,287,292,271,15,105,458,239,137,5,"101106,1610612744"
24,202726,Andrew Goudelock,1610612745,HOU,27.0,8,5,3,0.625,49.708333333333336,4,2,0,8,31,32,13,48,2,0,4,3,47.4,443,426,20,104,448,433,445,449,440,35,49,26,29,395,1,23,444,445,5,"202726,1610612745"
25,203094,Andrew Nicholson,1610612753,ORL,26.0,56,22,34,0.393,822.7716666666666,54,37,11,174,239,222,180,676,22,8,69,61,717.7,278,284,307,343,300,270,279,357,228,157,181,149,170,173,113,159,273,287,5,"203094,1610612753"
26,203952,Andrew Wiggins,1610612750,MIN,21.0,81,29,52,0.358,2844.59,275,186,209,764,996,767,802,2724,46,88,165,394,2460.2,19,215,446,375,8,13,25,25,10,471,466,466,475,77,467,377,11,40,5,"203952,1610612750"
27,203461,Anthony Bennett,1610612761,TOR,23.0,19,12,7,0.632,84.24666666666667,5,8,0,10,35,6,29,72,0,2,8,5,66.6,415,369,49,98,436,427,401,449,437,38,12,44,42,444,34,38,436,438,5,"203461,1610612761"
28,1626148,Anthony Brown,1610612747,LAL,23.0,29,4,25,0.138,598.6666666666666,21,17,14,18,178,146,194,570,5,10,34,18,269.5,385,434,201,452,336,366,359,348,413,125,136,159,146,348,138,98,392,377,5,"1626148,1610612747"
29,203076,Anthony Davis,1610612740,NOP,23.0,61,24,37,0.393,2164.26,204,195,133,668,651,510,552,1934,125,54,148,360,2895.4,241,271,343,343,87,38,18,66,21,354,357,361,390,12,414,339,16,22,5,"203076,1610612740"
30,201627,Anthony Morrow,1610612760,OKC,30.0,68,46,22,0.676,926.4316666666666,55,51,28,54,350,271,264,914,5,8,64,30,554.4,191,65,165,73,281,265,225,292,356,210,215,200,206,348,113,148,359,320,5,"201627,1610612760"
31,201229,Anthony Tolliver,1610612765,DET,31.0,72,36,36,0.5,1340.61,57,44,18,46,346,287,281,1208,16,13,86,56,833.8,157,151,331,224,217,259,252,331,368,205,224,213,267,228,172,193,286,263,5,"201229,1610612765"
32,203462,Archie Goodwin,1610612756,PHX,21.0,57,14,43,0.246,1113.7783333333334,86,48,118,272,496,310,439,1070,13,45,84,157,872.4,272,352,409,417,252,194,238,93,158,283,239,311,242,252,394,189,114,254,5,"203462,1610612756"
33,203382,Aron Baynes,1610612765,DET,29.0,81,43,38,0.531,1232.9466666666667,70,119,27,316,393,278,275,1090,52,26,151,154,1203.3,19,81,353,190,237,226,86,295,131,231,218,210,246,63,282,344,120,195,5,"203382,1610612765"
34,201167,Arron Afflalo,1610612752,NYK,30.0,71,27,44,0.38,2370.923333333333,95,65,80,264,719,631,633,2174,10,47,142,123,1467.2,172,247,413,359,55,179,188,152,163,386,420,411,428,286,400,324,156,149,5,"201167,1610612752"
35,203085,Austin Rivers,1610612746,LAC,23.0,67,42,25,0.627,1463.775,114,43,86,258,520,510,405,1308,9,32,137,96,1007.5,200,90,201,102,196,144,256,140,171,297,357,293,282,303,326,310,193,224,5,"203085,1610612746"
36,202340,Avery Bradley,1610612738,BOS,25.0,76,45,31,0.592,2536.1233333333334,277,119,257,354,769,813,564,2260,19,44,164,100,1955.0,109,69,265,122,36,12,86,15,104,408,472,370,437,195,392,375,187,73,5,"202340,1610612738"
37,1626253,Axel Toupane,1610612743,DEN,23.0,21,9,12,0.429,305.425,9,2,15,18,113,89,81,300,6,1,40,13,168.7,409,394,88,299,389,405,445,344,413,91,93,84,92,340,27,107,412,405,5,"1626253,1610612743"
38,203463,Ben McLemore,1610612758,SAC,23.0,68,28,40,0.412,1442.7833333333333,88,62,132,198,604,370,457,1270,10,24,140,89,914.1,191,237,378,324,202,190,196,67,206,334,270,323,276,286,265,317,207,246,5,"203463,1610612758"
